username, created_at, lng, lat, text,,,
bkyngirl, Sat Jan 30 02:08:50 +0000 2021,-73.948775,40.655138, I should not read these tweets before I catch up. Olivia’s gonna kick your ass once you are sober. ,,,
The_Real_Jabu, Sat Jan 30 02:08:52 +0000 2021,29.095333,-15.306759, I love it when the hypocrisy reveals itself. https://t.co/9YhJR7Qw0r ,,,
MichaelBramer10, Sat Jan 30 02:08:56 +0000 2021,-96.785019,33.233434, You are awesome friend to me I love you so much you are the best girl ever #SmackDown ,,,
ms_nienie1, Sat Jan 30 02:09:00 +0000 2021,-75.420393,39.86255, Love in Private ,,,
WinstonDeGres, Sat Jan 30 02:09:01 +0000 2021,-75.800141,45.248791, @eminemarshalltr @Eminem I love his stuff. #Eminem ,,,
di_tas_, Sat Jan 30 02:09:02 +0000 2021,-74.773336,40.216133, Mi reina ,,,
LorettaFilms, Sat Jan 30 02:09:04 +0000 2021,-117.398963,34.060759, @EW I am obsessed with this show! Love it! 🥰 ,,,
ESPinSC, Sat Jan 30 02:09:07 +0000 2021,-82.57,34.833736, So since everyone is talking about going “to the moon” this week, how about a follow out of love for the logo?? Maybe?$DOGE ,,
AndyLas, Sat Jan 30 02:09:12 +0000 2021,145.053135,-37.972566, So glad we were able to watch Coach teach in his prime - season ticket holders 1998-2001  #JohnChaney #Owls #Temple… https://t.co/wC0S0Rw1AZ ,,,
binarydragon, Sat Jan 30 02:09:13 +0000 2021,-118.325145,34.18216, Thank you all who came by today. What a dope time was had with #dysonspereprogram Thank you all for the crazy amo… https://t.co/Yza33BgwWF ,,,
Antonellapotros, Sat Jan 30 02:09:15 +0000 2021,-80.233328,25.782353, I always feel like the universe sends me sings, I was watching a movie and the principal message was to Be brave, a… https://t.co/Pl4SANr46P ,
spencerbarberra, Sat Jan 30 02:09:15 +0000 2021,-92.660508,37.675646, 4 inch dick? God, that's so much inch! Why don't these women love me? ,,
bcullaton22, Sat Jan 30 02:09:21 +0000 2021,-93.237324,44.679378, @Zehrpie Love it, one of the best teammates and funnier players I have had the privilege of playing with, hope your… https://t.co/4RT6UZpcWy ,
PhatPurplePanda, Sat Jan 30 02:09:25 +0000 2021,-115.135165,36.060964, 🎶Dorian &amp; Bull are starting to talk,soon they're gonna be together,if I'm not romancing 1 of them,They're gonna… https://t.co/6y5Wkxz2il 
moetorxycle, Sat Jan 30 02:09:26 +0000 2021,-85.49154,32.597245, the shoe switch up 🔥 ,,,
iotas, Sat Jan 30 02:09:27 +0000 2021,-78.328113,44.31479, @katwomanfifi @StephenKing Just love news, wish they research their stories, they both can't be right, sometimes it… https://t.co/ho8BJAJUS2 
jslayyyyy, Sat Jan 30 02:09:31 +0000 2021,-117.924892,33.889347, It’s so annoying when places say they’re hiring full time but hire a bunch of people and give them all shitty hours… https://t.co/JqnOWyT2Xf ,,,
lxssio, Sat Jan 30 02:09:46 +0000 2021,-0.03502,51.514831, I love how these people accuse pro-EU people of being part of a cult ,,,
